time;inflow;outflow;outflow_wb
244;0.56054592;0.062992512;0.591060672
245;0.5925312;0.064231056;0.647774496
246;0.62451648;0.0654696;0.704487456
247;0.65650176;0.0667080576;0.76120128
248;0.588153312;0.0664384032;0.71313264
249;0.519805728;0.0661686624;0.665064
250;0.45145728;0.065899008;0.61699536
251;0.419685408;0.0651872448;0.587006784
252;0.387912672;0.064475568;0.557017344
253;0.3561408;0.0637638048;0.527027904
254;0.393920928;0.0631983168;0.500772672
255;0.431700192;0.0626328288;0.47451744
256;0.46948032;0.0620673408;0.448263072
257;0.419448672;0.0619301376;0.44667936
258;0.369417888;0.061792848;0.445096512
259;0.31938624;0.0616555584;0.443513664
260;0.311794272;0.0616444128;0.436671648
261;0.304203168;0.0616331808;0.429829632
262;0.2966112;0.0616219488;0.422986752
263;0.313695072;0.0617403168;0.392147136
264;0.330779808;0.0618586848;0.36130752
265;0.34786368;0.0619769664;0.33046704
266;0.308229408;0.062110368;0.301366656
267;0.268594272;0.0622437696;0.272265408
268;0.22896;0.0623771712;0.24316416
269;0.31373568;0.0626088096;0.245097792
270;0.39851136;0.0628405344;0.247031424
271;0.48328704;0.0630721728;0.248965056
272;0.519391008;0.0633106368;0.304992
273;0.555494112;0.0635491872;0.36101808
274;0.59159808;0.0637876512;0.41704416
275;0.534061728;0.06285816;0.400578048
276;0.476524512;0.0619287552;0.384111072
277;0.41898816;0.060999264;0.36764496
278;0.419789088;0.0611286048;0.342326304
279;0.420589152;0.0612579456;0.317008512
280;0.42139008;0.0613872864;0.291689856
281;0.374653728;0.0617822208;0.286504128
282;0.327916512;0.0621771552;0.2813184
283;0.28118016;0.0625720896;0.276132672
284;0.267643872;0.0629474976;0.247866912
285;0.254108448;0.0633229056;0.219602016
286;0.24057216;0.0636984;0.19133712
287;0.22978944;0.0637681248;0.18752688
288;0.21900672;0.0638378496;0.183717504
289;0.208224;0.0639076608;0.179908128
290;0.213246432;0.0639434304;0.18120672
291;0.218269728;0.0639792;0.182506176
292;0.22329216;0.0640149696;0.183805632
293;0.212671008;0.0635328576;0.180847296
294;0.202048992;0.0630507456;0.177888096
295;0.19142784;0.0625686336;0.17492976
296;0.187533792;0.0625939488;0.174495168
297;0.183640608;0.0626191776;0.174060576
298;0.17974656;0.0626444064;0.173625984
299;0.184976352;0.062851248;0.179054496
300;0.190207008;0.063058176;0.184483872
301;0.1954368;0.0632650176;0.189912384
302;0.185252832;0.0632683872;0.18767808
303;0.175069728;0.0632717568;0.185443776
304;0.16488576;0.0632751264;0.183209472
305;0.211115808;0.063779184;0.191446848
306;0.257344992;0.0642832416;0.199684224
307;0.30357504;0.0647873856;0.207920736
308;0.31105728;0.0647227584;0.237544704
309;0.31853952;0.0646581312;0.267168672
310;0.32602176;0.064593504;0.296791776
311;0.355231008;0.0642009024;0.333019296
312;0.384439392;0.0638083872;0.369245952
313;0.41364864;0.0634157856;0.405472608
314;0.482532768;0.063732096;0.430684128
315;0.551416032;0.06404832;0.455894784
316;0.62030016;0.0643646304;0.48110544
317;0.588930912;0.0641961504;0.483060672
318;0.557562528;0.0640276704;0.485015904
319;0.52619328;0.0638591904;0.486971136
320;0.555580512;0.0634137984;0.502712352
321;0.584968608;0.0629684928;0.518452704
322;0.61435584;0.0625231008;0.53419392
323;0.601787232;0.062694864;0.51670656
324;0.589219488;0.0628666272;0.499220064
325;0.57665088;0.063038304;0.481732704
326;0.572428512;0.0631904544;0.47011104
327;0.568207008;0.0633426048;0.458488512
328;0.56398464;0.0634946688;0.446866848
329;0.519373728;0.063563616;0.43686864
330;0.474761952;0.0636326496;0.426870432
331;0.43015104;0.0637015968;0.416873088
332;0.412916832;0.0635779584;0.393241824
333;0.395683488;0.06345432;0.36961056
334;0.37844928;0.0633306816;0.345979296
335;0.40355712;0.0636926112;0.361232352
336;0.42866496;0.0640546272;0.376485408
337;0.4537728;0.0644166432;0.391738464
338;0.439954848;0.0643750848;0.415901952
339;0.426136032;0.06433344;0.440066304
340;0.41231808;0.0642918816;0.464230656
341;0.456422688;0.063419328;0.452902752
342;0.500526432;0.0625467744;0.441574848
343;0.54463104;0.0616742208;0.430246944
344;0.52189056;0.0615406464;0.395673984
345;0.49915008;0.0614069856;0.361101024
346;0.4764096;0.0612734112;0.326528064
347;0.44527104;0.0612373824;0.31812048
348;0.41413248;0.0612012672;0.309712896
349;0.38299392;0.0611652384;0.301305312
350;0.351913248;0.0610968096;0.29083536
351;0.320831712;0.0610284672;0.280365408
352;0.28975104;0.0609600384;0.269895456
353;0.282539232;0.0614454336;0.25859952
354;0.275328288;0.0619309152;0.247303584
355;0.26811648;0.0624163104;0.236007648
356;0.32932224;0.0623719008;0.250634304
357;0.390528;0.0623274048;0.265260096
358;0.45173376;0.0622829088;0.279886752
359;0.416027232;0.0617158656;0.2949912
360;0.380321568;0.061148736;0.310095648
361;0.34461504;0.0605816064;0.325200096
362;0.332697888;0.061046784;0.310784256
363;0.320779872;0.0615118752;0.296368416
364;0.30886272;0.0619769664;0.28195344
365;0.54205632;0.062645184;0.268961472
